group,Category,Audio,Image1,Image2,Matching,Preamble_English,Sentence_English
A,filler,FP1_merged.wav,FP1_a.jpg,FP1_b.jpg,j,It was early in the morning.,Grandpa was satisfied that the candle was blown out. 
B,filler,FP1_merged.wav,FP1_a.jpg,FP1_b.jpg,j,It was early in the morning.,Grandpa was satisfied that the candle was blown out. 
C,filler,FP1_merged.wav,FP1_a.jpg,FP1_b.jpg,j,It was early in the morning.,Grandpa was satisfied that the candle was blown out. 
A,filler,FP13_merged.wav,FP13_a.jpg,FP13_b.jpg,j,The weather was nice and warm.,The boy enjoyed himself photographing nature.
B,filler,FP13_merged.wav,FP13_a.jpg,FP13_b.jpg,j,The weather was nice and warm.,The boy enjoyed himself photographing nature.
C,filler,FP13_merged.wav,FP13_a.jpg,FP13_b.jpg,j,The weather was nice and warm.,The boy enjoyed himself photographing nature.
A,filler,FP14_merged.wav,FP14_a.jpg,FP14_b.jpg,,It was a holiday weekend.,Grandpa concantrated on preparing dessert.
B,filler,FP14_merged.wav,FP14_a.jpg,FP14_b.jpg,,It was a holiday weekend.,Grandpa concantrated on preparing dessert.
C,filler,FP14_merged.wav,FP14_a.jpg,FP14_b.jpg,,It was a holiday weekend.,Grandpa concantrated on preparing dessert.
A,filler,FP15_merged.wav,FP15_a.jpg,FP15_b.jpg,,It was early in the morning.,The girl worked on cutting out a flower.
B,filler,FP15_merged.wav,FP15_a.jpg,FP15_b.jpg,,It was early in the morning.,The girl worked on cutting out a flower.
C,filler,FP15_merged.wav,FP15_a.jpg,FP15_b.jpg,,It was early in the morning.,The girl worked on cutting out a flower.
A,filler,FP16_merged.wav,FP16_a.jpg,FP16_b.jpg,,There were jobs to do around the house.,The boy wanted to take apart the old wooden stool.
B,filler,FP16_merged.wav,FP16_a.jpg,FP16_b.jpg,,There were jobs to do around the house.,The boy wanted to take apart the old wooden stool.
C,filler,FP16_merged.wav,FP16_a.jpg,FP16_b.jpg,,There were jobs to do around the house.,The boy wanted to take apart the old wooden stool.
A,filler,FP17_merged.wav,FP17_a.jpg,FP17_b.jpg,j,It was the middle of the afternoon.,Grandpa relaxed and read a book.
B,filler,FP17_merged.wav,FP17_a.jpg,FP17_b.jpg,j,It was the middle of the afternoon.,Grandpa relaxed and read a book.
C,filler,FP17_merged.wav,FP17_a.jpg,FP17_b.jpg,j,It was the middle of the afternoon.,Grandpa relaxed and read a book.
A,filler,FP18_merged.wav,FP18_a.jpg,FP18_b.jpg,j,The weather was nice and warm.,Grandpa occupied himself in the strawberry patch.
B,filler,FP18_merged.wav,FP18_a.jpg,FP18_b.jpg,j,The weather was nice and warm.,Grandpa occupied himself in the strawberry patch.
C,filler,FP18_merged.wav,FP18_a.jpg,FP18_b.jpg,j,The weather was nice and warm.,Grandpa occupied himself in the strawberry patch.
A,filler,FP2_merged.wav,FP2_a.jpg,FP2_b.jpg,j,It was the middle of the afternoon.,Grandma was successful in cracking open the nut.
B,filler,FP2_merged.wav,FP2_a.jpg,FP2_b.jpg,j,It was the middle of the afternoon.,Grandma was successful in cracking open the nut.
C,filler,FP2_merged.wav,FP2_a.jpg,FP2_b.jpg,j,It was the middle of the afternoon.,Grandma was successful in cracking open the nut.
A,filler,FP22_merged.wav,FP22_a.jpg,FP22_b.jpg,a,It was late in the afternoon. ,The girl decided to burn a blue notebook.
B,filler,FP22_merged.wav,FP22_a.jpg,FP22_b.jpg,a,It was late in the afternoon. ,The girl decided to burn a blue notebook.
C,filler,FP22_merged.wav,FP22_a.jpg,FP22_b.jpg,a,It was late in the afternoon. ,The girl decided to burn a blue notebook.
A,filler,FP4_merged.wav,FP4_a.jpg,FP4_b.jpg,j,It was a beautiful quiet evening. ,Grandpa was unconcerned that the old bridge had been destroyed.
