group,Verb,Preamble,Sentence,Category,Audio,Image1,Image2,Matching,Preamble_English,Sentence_English,item_start,item_end,offset
A,build,Soğuk bir kış sabahıydı.,Büyük bir kardan adam yapıyordu yaşlı amca hevesli bir şekilde.,Imp,merged_build_Imp.wav,build snowman 0.jpg,build snowman 1.jpg,f,It was a crisp winter morning.,"Grandpa was building a big snowman,",put start and end in ms,,
B,build,Soğuk bir kış sabahıydı.,Büyük bir kardan adam yaptı yaşlı amca hevesli bir şekilde.,Pf,merged_build_Pf.wav,build snowman 1.jpg,build snowman 0.jpg,f,It was a crisp winter morning.,"Grandpa built a big snowman,",,,
A,color,Okulda etkinlik zamanıydı.,Güzel bir resmi boyuyordu çocuk büyük bir heyecanla. ,Imp,merged_color_Imp.wav,color drawing 0.jpg,color drawing 1.jpg,f,,,,,
B,color,Okulda etkinlik zamanıydı.,Güzel bir resmi boyadı çocuk büyük bir heyecanla. ,Pf,merged_color_Pf.wav,color drawing 1.jpg,color drawing 0.jpg,f,,,,,
A,slice,Öğle yemeği vaktiydi. ,Diyarbakır karpuzunu kesiyordu Ayşe teyze hızlı bir şekilde.,Imp,merged_slice_Imp.wav,slice watermelon 0.jpg,slice watermelon 1.jpg,f,It was time for lunch.,Grandma was slicing a juicy watermelon.,,,
B,slice,Öğle yemeği vaktiydi. ,Diyarbakır karpuzunu kesti Ayşe teyze hızlı bir şekilde.,Pf,merged_slice_Pf.wav,slice watermelon 1.jpg,slice watermelon 0.jpg,f,It was time for lunch.,Grandma sliced a juicy watermelon.,,,
A,dig,Hava açık ve güneşliydi. ,Derin bir çukur kazıyordu yaşlı amca yorgun bir şekilde.,Imp,merged_dig_Imp.wav,dig hole 0.jpg,dig hole 1.jpg,f,,,,,
B,dig,Hava açık ve güneşliydi. ,Derin bir çukur kazdı yaşlı amca yorgun bir şekilde.,Pf,merged_dig_Pf.wav,dig hole 1.jpg,dig hole 0.jpg,f,,,,,
A,draw,Okulda etkinlik zamanıydı.,Uzunca bir vazo çiziyordu kız mutlu bir şekilde.,Imp,merged_draw_Imp.wav,draw vase 0.jpg,draw vase 1.jpg,f,,,,,
B,draw,Okulda etkinlik zamanıydı.,Uzunca bir vazo çizdi kız mutlu bir şekilde.,Pf,merged_draw_Pf.wav,draw vase 1.jpg,draw vase 0.jpg,f,,,,,
A,drill,Evde bir sürü yapılacak iş vardı. ,Matkapla duvarı deliyordu yaşlı amca acele bir şekilde.,Imp,merged_drill_Imp.wav,drill hole 0.jpg,drill hole 1.jpg,f,,,,,
B,drill,Evde bir sürü yapılacak iş vardı. ,Matkapla duvarı deldi yaşlı amca acele bir şekilde.,Pf,merged_drill_Pf.wav,drill hole 1.jpg,drill hole 0.jpg,f,,,,,
A,fix,Haftasonu tatiliydi. ,Eski buzdolabını tamir ediyordu yaşlı amca yavaş hareketlerle.,Imp,merged_fix_Imp.wav,fix fridge 0.jpg,fix fridge 1.jpg,f,,,,,
B,fix,Haftasonu tatiliydi. ,Eski buzdolabını tamir etti yaşlı amca yavaş hareketlerle.,Pf,merged_fix_Pf.wav,fix fridge 1.jpg,fix fridge 0.jpg,f,,,,,
A,hang,Haftasonu tatiliydi. ,Güzel tabloyu duvara asıyordu Ayşe teyze büyük bir sevinçle.,Imp,merged_hang_Imp.wav,hang painting 0.jpg,hang painting 1.jpg,f,,,,,
B,hang,Haftasonu tatiliydi. ,Güzel tabloyu duvara astı Ayşe teyze büyük bir sevinçle.,Pf,merged_hang_Pf.wav,hang painting 1.jpg,hang painting 0.jpg,f,,,,,
